label,runs,avg_e2e_ms_mean,avg_e2e_ms_std,p50_ms_mean,p50_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std,hpwp_lmax_low,hpwp_lmax_high,hpwp_beta_hi,hpwp_beta_lo,hpwp_alpha_exp,hpwp_alpha_stable,hpwp_sched_eta_exec,hpwp_sched_min_sec,hpwp_sched_max_sec,hpwp_horizon_alpha,hpwp_urgency_epsilon_ms,hpwp_phase_window_k,hpwp_phase_n_min,hpwp_phase_var_threshold,hpwp_drift_short_k,hpwp_drift_long_k,hpwp_drift_delta_mr,hpwp_drift_tau_mr,hpwp_drift_branch_tau,hpwp_forget_gamma,hpwp_default_exec_ms,hpwp_default_cold_ms,hpwp_default_trans_ms,hpwp_seed_offset,hpwp_rho_mass,hpwp_tau_p,status
hpwp_06,3,2962.4032994815607,171.69753935112612,2667.0,131.75355782672435,5646.016666666666,352.46590733478513,7462.726666666674,106.39729382524982,1.0,0.0,0.427558912562992,0.005905877153129907,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.45,0.024,ok
hpwp_09,3,2964.4120466898416,145.36686923588164,2662.0,138.11227316933133,5635.8499999999985,379.9631199208684,7716.189999999988,695.8682225105633,1.0,0.0,0.42616291126200667,0.006191069879340429,2.0,4.0,60.0,10.0,0.8,0.08,0.675,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.032,ok
hpwp_17,3,2965.327751569644,195.82612886421362,2752.3333333333335,152.13261758522836,5638.916666666667,323.21564911577804,8161.323333333331,702.81894797546,1.0,0.0,0.4315273027180873,0.011889427433452778,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,4.9,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.032,ok
hpwp_02,3,2968.1085020438045,200.37610405652373,2654.1666666666665,144.32977285831683,5587.466666666664,423.7663310520691,7187.556666666667,497.50066395266316,1.0,0.0,0.42954669467654855,0.014380191514455146,2.0,4.0,60.0,10.0,0.8,0.08,0.35,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.008,ok
hpwp_28,3,2969.205777768239,185.3134796899276,2659.0,114.38531374263044,5505.2166666666635,359.7887794711395,7563.88,276.3503544416112,1.0,0.0,0.4292167553407313,0.007575218501998868,2.0,4.0,60.0,10.0,0.8,0.08,0.85,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.012,ok
hpwp_30,3,2971.586439720133,166.5934729860487,2694.5,75.34421012924616,5576.616666666666,405.6262945536607,7321.813333333332,538.5908815913392,1.0,0.0,0.4298067937729728,0.01525538329868424,2.0,4.0,60.0,10.0,0.8,0.08,0.675,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.45,0.024,ok
hpwp_23,3,2976.287660174596,155.24637087528058,2673.6666666666665,106.36885509082691,5598.683333333333,402.13558762354415,8007.593333333328,310.9178067164042,1.0,0.0,0.43175206633748636,0.007594759834464455,2.0,4.0,60.0,10.0,0.8,0.08,0.35,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.4,0.008,ok
hpwp_10,3,2977.746089609507,174.37673611886643,2670.1666666666665,164.7515806702119,5608.099999999999,427.61504884650674,7323.923333333326,332.08174239687355,1.0,0.0,0.4282122854207738,0.006914601821789123,2.0,4.0,60.0,10.0,0.8,0.08,0.575,1.0,15.0,5.95,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.45,0.02,ok
hpwp_14,3,2980.217988931065,183.78889053070552,2678.0,127.40094191174569,5654.933333333332,329.35006199078407,7604.240000000002,192.26354516653745,1.0,0.0,0.4352885965714565,0.006383870333720722,2.0,4.0,60.0,10.0,0.8,0.08,0.425,1.0,15.0,4.2,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.7,0.012,ok
hpwp_01,3,2987.105975281469,136.40494038997596,2681.0,91.9945650568554,5644.266666666666,379.77501673139744,7635.60333333333,293.5691029950744,1.0,0.0,0.43419603102624466,0.00647588622517205,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,3.5,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.02,ok
hpwp_05,3,2999.286052221151,91.8148278894728,2698.1666666666665,112.17880073050047,5686.999999999999,196.6761042933272,7737.7733333333335,902.5726480086416,1.0,0.0,0.44012878956339874,0.00777293180112713,2.0,4.0,60.0,10.0,0.8,0.08,0.35,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.04,ok
hpwp_13,3,3007.2246279336036,153.27302728383896,2702.6666666666665,75.36798613027506,5724.983333333333,469.57390880811676,7751.0233333333335,188.02216527136204,1.0,0.0,0.439683023275544,0.012410030377396242,2.0,4.0,60.0,10.0,0.8,0.08,0.5,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.5,0.032,ok
hpwp_22,3,3008.797261538071,145.48471699906167,2673.6666666666665,103.19560714164791,5818.333333333333,326.9672511633757,7492.273333333334,43.53991425500799,1.0,0.0,0.43677113765213976,0.0016841930043804576,2.0,4.0,60.0,10.0,0.8,0.08,0.85,1.0,15.0,1.925,500.0,30.0,12.0,0.06,30.0,180.0,0.28,0.72,0.75,0.9,40.0,800.0,8.0,2027.0,0.3,0.024,ok
