parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
tau_p,$\tau_p$,hpwp_tau_p,0.008,mid,Medium,0.0001,3,ok,2526.9269943149475,155.6906976718351,4986.066666666666,417.16821946707927,6897.126666666667,465.1122162804751,1.0,0.0,0.5278293299983802,0.012167970587051047
tau_p,$\tau_p$,hpwp_tau_p,0.008,high,High,0.0002,3,ok,1994.9879896671555,99.56064381634623,4597.049999999996,213.25531060209943,6712.500000000012,258.8193199898424,1.0,0.0,0.40432219912896894,0.008991073298761143
tau_p,$\tau_p$,hpwp_tau_p,0.012,low,Low,5e-05,3,ok,3148.9643554526097,197.37671494670215,5704.7,52.92643479396693,7278.763333333328,622.4499797038525,1.0,0.0,0.6176064052960438,0.012980398149059172
tau_p,$\tau_p$,hpwp_tau_p,0.012,mid,Medium,0.0001,3,ok,2505.528799767822,156.11858422178364,4981.866666666666,399.8165120818969,6996.140000000003,452.8731795988809,1.0,0.0,0.522444193968644,0.008802070321281132
tau_p,$\tau_p$,hpwp_tau_p,0.012,high,High,0.0002,3,ok,1992.5578528524409,80.57821479912778,4588.233333333334,193.37410202333956,6403.283333333351,623.3687145128036,1.0,0.0,0.4030411639278797,0.00827613988392712
tau_p,$\tau_p$,hpwp_tau_p,0.016,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
tau_p,$\tau_p$,hpwp_tau_p,0.016,mid,Medium,0.0001,3,ok,2556.20631754504,131.66549585436093,5109.499999999999,395.87821359605107,6857.866666666661,564.6255645410889,1.0,0.0,0.5335369630837156,0.005674102855106623
tau_p,$\tau_p$,hpwp_tau_p,0.016,high,High,0.0002,3,ok,2006.3940768097807,134.52457014373024,4713.7666666666655,322.67770814441536,6816.293333333338,318.1331710673113,1.0,0.0,0.4056522093407919,0.007781858368844417
tau_p,$\tau_p$,hpwp_tau_p,0.02,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
tau_p,$\tau_p$,hpwp_tau_p,0.02,mid,Medium,0.0001,3,ok,2580.5194644606427,118.48416170326936,5049.033333333333,461.9264479690832,6948.62666666667,594.9646921736941,1.0,0.0,0.5372667798058653,0.002967849298333236
tau_p,$\tau_p$,hpwp_tau_p,0.02,high,High,0.0002,3,ok,1981.504021181988,134.53482946007102,4602.4333333333325,272.27145155769205,6487.953333333338,406.59379746049245,1.0,0.0,0.39835629813458784,0.007416806146493113
tau_p,$\tau_p$,hpwp_tau_p,0.032,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
tau_p,$\tau_p$,hpwp_tau_p,0.032,mid,Medium,0.0001,3,ok,2516.741661111017,162.46745340901558,4998.966666666664,389.6493979635222,6827.839999999994,549.4036843706191,1.0,0.0,0.5239503904366432,0.010326889779266336
tau_p,$\tau_p$,hpwp_tau_p,0.032,high,High,0.0002,3,ok,2002.614909324627,126.38416601011143,4643.233333333333,252.81503779113532,6919.023333333364,694.0678093914054,1.0,0.0,0.40820255901322294,0.00819361370401607
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,low,Low,5e-05,3,ok,3163.355036456194,173.88066396318277,5688.466666666666,68.67853255081535,6938.469999999997,577.2623721497905,1.0,0.0,0.619266992088057,0.013248239805296404
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,mid,Medium,0.0001,3,ok,2496.0396527044704,120.52145414086671,4978.399999999999,428.9253897824186,6714.446666666663,639.9569867837657,1.0,0.0,0.5257157510946193,0.005116207720363583
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,high,High,0.0002,3,ok,2018.7814682068108,43.95912562980844,4665.516666666667,192.45403563794966,6597.063333333331,467.82977377816974,1.0,0.0,0.41122068389641137,0.013201455245108634
forget_gamma,$\gamma$,hpwp_forget_gamma,0.82,low,Low,5e-05,3,ok,3163.355036456194,173.88066396318277,5688.466666666666,68.67853255081535,6938.469999999997,577.2623721497905,1.0,0.0,0.619266992088057,0.013248239805296404
forget_gamma,$\gamma$,hpwp_forget_gamma,0.82,mid,Medium,0.0001,3,ok,2540.2748041098853,107.32842916330067,4973.099999999999,431.7711315037177,6968.48666666667,434.55879295365133,1.0,0.0,0.5307028815766608,0.006420575930617149
forget_gamma,$\gamma$,hpwp_forget_gamma,0.82,high,High,0.0002,3,ok,2005.7152780183867,120.2513141338673,4639.083333333333,245.52117186371797,6674.536666666677,508.8591966677437,1.0,0.0,0.4086254126705826,0.0022644387440703575
forget_gamma,$\gamma$,hpwp_forget_gamma,0.87,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
forget_gamma,$\gamma$,hpwp_forget_gamma,0.87,mid,Medium,0.0001,3,ok,2506.9455892322258,188.78364809478035,5060.433333333333,368.4101021054297,6872.333333333342,527.2458759756558,1.0,0.0,0.5272337170357143,0.01162725345918684
forget_gamma,$\gamma$,hpwp_forget_gamma,0.87,high,High,0.0002,3,ok,1979.637250393928,93.15161518011544,4663.833333333333,295.40958571673485,6681.403333333347,550.0767639460408,1.0,0.0,0.4003036827191037,0.006063207121999355
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,mid,Medium,0.0001,3,ok,2517.671851550119,139.89216949363438,4922.333333333333,450.0760639417889,6801.513333333333,674.8912120729947,1.0,0.0,0.5272216855663161,0.0052284194664420905
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,high,High,0.0002,3,ok,1994.3164396509637,60.60577773325069,4677.616666666666,211.18371346610263,6645.980000000003,347.49522701758383,1.0,0.0,0.4046432591129525,0.0095441061209095
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,mid,Medium,0.0001,3,ok,2532.4783609916994,188.44925876834685,5058.333333333333,308.2213057744931,6770.866666666668,128.6437566822924,1.0,0.0,0.5264570688028912,0.012236005448214913
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,high,High,0.0002,3,ok,1995.343587508226,90.08262663752967,4620.4,219.76198488364543,6541.16,223.55517260846585,1.0,0.0,0.4089230752579029,0.003960953723724913
