label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
lmax_5_low,lmax,$L_{max}$,hpwp_lmax_high,5.0,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164059_least_load_hpwp_v1,2978.4802867383514,2935.0,5780.499999999999,6863.359999999961,1.0,0.6169488180448522,ok
lmax_5_mid,lmax,$L_{max}$,hpwp_lmax_high,5.0,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164103_least_load_hpwp_v1,2676.450867052023,2386.0,5333.4,7432.940000000003,1.0,0.529418794336963,ok
lmax_5_mid,lmax,$L_{max}$,hpwp_lmax_high,5.0,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164108_least_load_hpwp_v1,2590.8139963167587,2436.0,4999.4,6864.260000000002,1.0,0.5298867226040154,ok
lmax_5_mid,lmax,$L_{max}$,hpwp_lmax_high,5.0,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164112_least_load_hpwp_v1,2328.2870201096894,2174.0,4472.899999999999,5937.619999999991,1.0,0.5111516968403068,ok
lmax_5_high,lmax,$L_{max}$,hpwp_lmax_high,5.0,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164117_least_load_hpwp_v1,2028.8319169027384,1529.0,4666.5,6374.2400000000125,1.0,0.38962864428891714,ok
lmax_5_high,lmax,$L_{max}$,hpwp_lmax_high,5.0,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164122_least_load_hpwp_v1,2077.0342034203422,1542.0,4858.5,7089.900000000011,1.0,0.410380549362212,ok
lmax_5_high,lmax,$L_{max}$,hpwp_lmax_high,5.0,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164127_least_load_hpwp_v1,1911.7762923351158,1556.5,4382.650000000001,6678.69,1.0,0.408925726790467,ok
rho_mass_0p3_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164132_least_load_hpwp_v1,3336.8901515151515,3188.0,5919.199999999998,7380.6100000000015,1.0,0.6239762344498314,ok
rho_mass_0p3_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164136_least_load_hpwp_v1,3155.032608695652,3179.0,5418.25,7546.75,1.0,0.5991692591431449,ok
rho_mass_0p3_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164140_least_load_hpwp_v1,2996.5913978494623,3025.0,5676.399999999998,7555.439999999982,1.0,0.6248449552597993,ok
rho_mass_0p3_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164145_least_load_hpwp_v1,2579.3911368015415,2301.0,5238.1,6454.040000000004,1.0,0.5156390060834957,ok
rho_mass_0p3_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164149_least_load_hpwp_v1,2606.0883977900553,2186.0,5151.4,6573.100000000012,1.0,0.528591497739392,ok
rho_mass_0p3_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164154_least_load_hpwp_v1,2377.4826325411336,2347.0,4502.299999999998,6613.179999999999,1.0,0.5447060822786611,ok
rho_mass_0p3_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164158_least_load_hpwp_v1,2053.7960339943343,1567.0,4683.599999999999,6045.180000000017,1.0,0.3985402097500195,ok
rho_mass_0p3_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164203_least_load_hpwp_v1,2040.4203420342035,1566.0,4753.5,6956.400000000011,1.0,0.4052557074463134,ok
rho_mass_0p3_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.3,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164208_least_load_hpwp_v1,1879.229055258467,1524.5,4357.0,5864.9,1.0,0.4002096281945179,ok
rho_mass_0p4_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164213_least_load_hpwp_v1,3226.3257575757575,3174.0,5630.65,6548.85,1.0,0.6212738479600822,ok
rho_mass_0p4_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164217_least_load_hpwp_v1,3298.5289855072465,3344.0,5623.75,8056.0,1.0,0.6218516378622881,ok
rho_mass_0p4_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164221_least_load_hpwp_v1,2886.5304659498206,2817.0,5760.499999999999,6979.81999999998,1.0,0.5992013330982365,ok
