parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
tau_p,$\tau_p$,0.3,mid,Medium,avg_e2e_ms,Avg,2535.5510597302505,0.0,1
tau_p,$\tau_p$,0.3,mid,Medium,p95_ms,P95,5277.7,0.0,1
tau_p,$\tau_p$,0.3,mid,Medium,p99_ms,P99,6590.92000000001,0.0,1
tau_p,$\tau_p$,0.3,high,High,avg_e2e_ms,Avg,2040.7337110481587,0.0,1
tau_p,$\tau_p$,0.3,high,High,p95_ms,P95,4687.799999999999,0.0,1
tau_p,$\tau_p$,0.3,high,High,p99_ms,P99,6240.8000000000175,0.0,1
forget_gamma,$\gamma$,0.75,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
forget_gamma,$\gamma$,0.75,low,Low,p95_ms,P95,5536.1,0.0,1
forget_gamma,$\gamma$,0.75,low,Low,p99_ms,P99,6554.910000000002,0.0,1
forget_gamma,$\gamma$,0.75,mid,Medium,avg_e2e_ms,Avg,2534.1618497109826,0.0,1
forget_gamma,$\gamma$,0.75,mid,Medium,p95_ms,P95,5225.1,0.0,1
forget_gamma,$\gamma$,0.75,mid,Medium,p99_ms,P99,6557.4800000000005,0.0,1
forget_gamma,$\gamma$,0.75,high,High,avg_e2e_ms,Avg,2052.4334277620396,0.0,1
forget_gamma,$\gamma$,0.75,high,High,p95_ms,P95,4674.1,0.0,1
forget_gamma,$\gamma$,0.75,high,High,p99_ms,P99,6500.700000000035,0.0,1
forget_gamma,$\gamma$,0.85,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
forget_gamma,$\gamma$,0.85,low,Low,p95_ms,P95,5536.1,0.0,1
forget_gamma,$\gamma$,0.85,low,Low,p99_ms,P99,6554.910000000002,0.0,1
forget_gamma,$\gamma$,0.85,mid,Medium,avg_e2e_ms,Avg,2562.6493256262042,0.0,1
forget_gamma,$\gamma$,0.85,mid,Medium,p95_ms,P95,5285.0,0.0,1
forget_gamma,$\gamma$,0.85,mid,Medium,p99_ms,P99,6706.2600000000175,0.0,1
forget_gamma,$\gamma$,0.85,high,High,avg_e2e_ms,Avg,1997.8498583569406,0.0,1
forget_gamma,$\gamma$,0.85,high,High,p95_ms,P95,4624.599999999999,0.0,1
forget_gamma,$\gamma$,0.85,high,High,p99_ms,P99,5659.42,0.0,1
forget_gamma,$\gamma$,0.9,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
forget_gamma,$\gamma$,0.9,low,Low,p95_ms,P95,5536.1,0.0,1
forget_gamma,$\gamma$,0.9,low,Low,p99_ms,P99,6554.910000000002,0.0,1
forget_gamma,$\gamma$,0.9,mid,Medium,avg_e2e_ms,Avg,2545.0867052023123,0.0,1
forget_gamma,$\gamma$,0.9,mid,Medium,p95_ms,P95,5225.799999999999,0.0,1
forget_gamma,$\gamma$,0.9,mid,Medium,p99_ms,P99,6223.100000000008,0.0,1
forget_gamma,$\gamma$,0.9,high,High,avg_e2e_ms,Avg,1997.9102927289896,0.0,1
forget_gamma,$\gamma$,0.9,high,High,p95_ms,P95,4659.799999999998,0.0,1
forget_gamma,$\gamma$,0.9,high,High,p99_ms,P99,6107.420000000004,0.0,1
forget_gamma,$\gamma$,0.95,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
forget_gamma,$\gamma$,0.95,low,Low,p95_ms,P95,5536.1,0.0,1
forget_gamma,$\gamma$,0.95,low,Low,p99_ms,P99,6554.910000000002,0.0,1
forget_gamma,$\gamma$,0.95,mid,Medium,avg_e2e_ms,Avg,2545.0867052023123,0.0,1
forget_gamma,$\gamma$,0.95,mid,Medium,p95_ms,P95,5225.799999999999,0.0,1
forget_gamma,$\gamma$,0.95,mid,Medium,p99_ms,P99,6223.100000000008,0.0,1
forget_gamma,$\gamma$,0.95,high,High,avg_e2e_ms,Avg,2033.703493862134,0.0,1
