parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
tau_p,$\tau_p$,hpwp_tau_p,0.2,mid,Medium,0.0001,1,ok,2558.562620423892,0.0,5251.599999999999,0.0,7265.040000000019,0.0,1.0,0.0,0.5111206165552371,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.2,high,High,0.0002,1,ok,2066.623229461756,0.0,4964.2,0.0,7031.360000000001,0.0,1.0,0.0,0.4071418845502556,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.3,low,Low,5e-05,1,ok,3219.810606060606,0.0,5580.7,0.0,6927.55,0.0,1.0,0.0,0.6088032187099279,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.3,mid,Medium,0.0001,1,ok,2535.5510597302505,0.0,5277.7,0.0,6590.92000000001,0.0,1.0,0.0,0.5095227709846339,0.0
tau_p,$\tau_p$,hpwp_tau_p,0.3,high,High,0.0002,1,ok,2040.7337110481587,0.0,4687.799999999999,0.0,6240.8000000000175,0.0,1.0,0.0,0.39866931157071483,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,mid,Medium,0.0001,1,ok,2534.1618497109826,0.0,5225.1,0.0,6557.4800000000005,0.0,1.0,0.0,0.5133854915109904,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.75,high,High,0.0002,1,ok,2052.4334277620396,0.0,4674.1,0.0,6500.700000000035,0.0,1.0,0.0,0.40278128590075024,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,mid,Medium,0.0001,1,ok,2562.6493256262042,0.0,5285.0,0.0,6706.2600000000175,0.0,1.0,0.0,0.5132257906865713,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.85,high,High,0.0002,1,ok,1997.8498583569406,0.0,4624.599999999999,0.0,5659.42,0.0,1.0,0.0,0.39239352221439194,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,mid,Medium,0.0001,1,ok,2545.0867052023123,0.0,5225.799999999999,0.0,6223.100000000008,0.0,1.0,0.0,0.5109788780377016,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.9,high,High,0.0002,1,ok,1997.9102927289896,0.0,4659.799999999998,0.0,6107.420000000004,0.0,1.0,0.0,0.3879535132789832,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,mid,Medium,0.0001,1,ok,2545.0867052023123,0.0,5225.799999999999,0.0,6223.100000000008,0.0,1.0,0.0,0.5109788780377016,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.95,high,High,0.0002,1,ok,2033.703493862134,0.0,4703.499999999998,0.0,6395.580000000011,0.0,1.0,0.0,0.38883879403368726,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,low,Low,5e-05,1,ok,3158.9810606060605,0.0,5536.1,0.0,6554.910000000002,0.0,1.0,0.0,0.6092597944053211,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,mid,Medium,0.0001,1,ok,2589.1098265895953,0.0,5294.5,0.0,6556.200000000008,0.0,1.0,0.0,0.5186850510661225,0.0
forget_gamma,$\gamma$,hpwp_forget_gamma,0.99,high,High,0.0002,1,ok,2058.070821529745,0.0,4679.299999999999,0.0,5919.460000000001,0.0,1.0,0.0,0.4048117524364567,0.0
